"Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Regular price","Categories","Tags","Images"
"simple","MEDIVISTA-BELLAST-ULTRA-L","Bellast Ultra L","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Dermal Fillers","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/bellast-ultra-l.webp"
"simple","MEDIVISTA-BELLAST-ULTRA-PLUS","Bellast Ultra Plus","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Dermal Fillers","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/bellast-ultra-plus.webp"
"simple","MEDIVISTA-BELLAST-ULTRA-SOFT-L","Bellast Ultra Soft L","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Dermal Fillers","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/bellast-ultra-soft-l.webp"
"simple","MEDIVISTA-BOTULAX-100UNITS","Botulax 100Units","0","1","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Botulinum Toxins","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/botulax-100units.webp"
"simple","MEDIVISTA-BOTULAX-200UNITS","Botulax 200Units","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Botulinum Toxins","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/botulax-200units.webp"
"simple","MEDIVISTA-BOTULAX-300UNITS","Botulax 300Units","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Botulinum Toxins","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/botulax-300units.webp"
"simple","MEDIVISTA-CARTIN","Cartin","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Others","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/cartin.webp"
"simple","MEDIVISTA-CELLEXOR-RE-TONE","Cellexor Re Tone","0","1","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","CELLEXOR","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/cellexor-re-tone.webp"
"simple","MEDIVISTA-CINDELLA","Cindella","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Vitamin Injections","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/cindella.webp"
"simple","MEDIVISTA-COLLAPLEO","Collapleo","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Others","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/collapleo.webp"
"simple","MEDIVISTA-CORETOX-100UNITS","Coretox 100Units","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Botulinum Toxins","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/coretox-100units.webp"
"simple","MEDIVISTA-DAIHAN-STERILE-WATER","DAIHAN Sterile Water","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Others","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/daihan-sterile-water.webp"
"simple","MEDIVISTA-DERMALAX-DEEP-PLUS","Dermalax Deep Plus","0","0","visible","Professional aesthetic product prepared for MEDIVISTA Brand Shop review.","Add confirmed product description, price, stock, shipping, refund, and regulatory copy before publishing.","","Dermal Fillers","professional aesthetic care, MEDIVISTA Brand Shop","https://shop.medivista.co.kr/wp-content/themes/wp-theme-shop/assets/images/products/dermalax-deep-plus.webp"
